시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,반경500m_사고지점수,반경500m_사고건수합계
어린이집,구립초롱별어린이집,서울특별시 강동구 양재대로134길 41,서울특별시 강동구 명일동 338-19,37.5478186,127.1459302,서울특별시 강동구청,강동경찰서,Y,1,6~10,2023-08-18,3240000,서울특별시 강동구,6,24
어린이집,강동복지관어린이집,서울특별시 강동구 진황도로23길 7,서울특별시 강동구 천호3동 555,37.54004284,127.1297892,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,18,87
어린이집,애지어린이집,서울특별시 강동구 진황도로 160,서울특별시 강동구 둔촌2동 452-2,37.531761,127.1415805,서울특별시 강동구청,강동경찰서,Y,1,12,2023-08-18,3240000,서울특별시 강동구,21,120
어린이집,라온어린이집,서울특별시 강동구 천중로39길 43-1,서울특별시 강동구 천호1동 49-33,37.5431379,127.1393804,서울특별시 강동구청,강동경찰서,Y,1,6,2023-08-18,3240000,서울특별시 강동구,15,63
어린이집,예일어린이집,서울특별시 강동구 양재대로 1305,서울특별시 강동구 성내3동 441-3,37.5229326,127.1339492,서울특별시 강동구청,강동경찰서,Y,1,50,2023-08-18,3240000,서울특별시 강동구,18,87
어린이집,예은어린이집,서울특별시 강동구 성안로31마길 6,서울특별시 강동구 천호3동 186-7,37.5408215,127.1336179,서울특별시 강동구청,강동경찰서,Y,1,4.5,2023-08-18,3240000,서울특별시 강동구,15,69
유치원,윤정,서울특별시 도봉구 노해로 70길 54,,37.649242,127.0509338,도봉구청,도봉경찰서,Y,0,20,2019-09-05,3090000,서울특별시 도봉구,6,36
유치원,솔샘,서울특별시 도봉구 해등로 169,,37.6571082049,127.0377335198,도봉구청,도봉경찰서,Y,0,20,2019-09-05,3090000,서울특별시 도봉구,9,42
유치원,다솜,서울특별시 도봉구 해등로 169,,37.6571082049,127.0377335198,도봉구청,도봉경찰서,Y,1,20,2019-09-05,3090000,서울특별시 도봉구,9,42
초등학교,한신,서울특별시 도봉구 노해로49길 69,,37.6529105,127.0318063,도봉구청,도봉경찰서,Y,2,6~20,2019-09-05,3090000,서울특별시 도봉구,6,21
초등학교,창원,서울특별시 도봉구 해등로 103,,37.6525531,127.040553,도봉구청,도봉경찰서,Y,6,10~30,2019-09-05,3090000,서울특별시 도봉구,3,12
